friendly_name,original_field_name,page,field_type,caption,state_options,max_length,access
p1_name_s_shown_on_your_income_tax_return,Form8283[0].Page1[0].f1_1[0],1,Text,Name(s) shown on your income tax return,,,
taxpayer_tin,Form8283[0].Page1[0].f1_2[0],1,Text,Identifying number,,11,
p1_name,Form8283[0].Page1[0].f1_3[0],1,Text,Name:,,,
taxpayer_tin_2,Form8283[0].Page1[0].f1_4[0],1,Text,Identifying number:,,11,
p1_form8283_0_page1_0_c1_1_0,Form8283[0].Page1[0].c1_1[0],1,Button,,1,,
p1_form8283_0_page1_0_table_line1_colsa_c_0_row1a_0_f1_5_0,Form8283[0].Page1[0].Table_Line1_ColsA-C[0].Row1A[0].f1_5[0],1,Text,,,,
p1_form8283_0_page1_0_table_line1_colsa_c_0_row1a_0_colb_0_c1_2_0,Form8283[0].Page1[0].Table_Line1_ColsA-C[0].Row1A[0].ColB[0].c1_2[0],1,Button,,1,,
p1_form8283_0_page1_0_table_line1_colsa_c_0_row1a_0_colb_0_f1_6_0,Form8283[0].Page1[0].Table_Line1_ColsA-C[0].Row1A[0].ColB[0].f1_6[0],1,Text,,,17,
p1_form8283_0_page1_0_table_line1_colsa_c_0_row1a_0_f1_7_0,Form8283[0].Page1[0].Table_Line1_ColsA-C[0].Row1A[0].f1_7[0],1,Text,,,,
p1_form8283_0_page1_0_table_line1_colsa_c_0_row1b_0_f1_8_0,Form8283[0].Page1[0].Table_Line1_ColsA-C[0].Row1B[0].f1_8[0],1,Text,,,,
p1_form8283_0_page1_0_table_line1_colsa_c_0_row1b_0_colb_0_c1_3_0,Form8283[0].Page1[0].Table_Line1_ColsA-C[0].Row1B[0].ColB[0].c1_3[0],1,Button,,1,,
p1_form8283_0_page1_0_table_line1_colsa_c_0_row1b_0_colb_0_f1_9_0,Form8283[0].Page1[0].Table_Line1_ColsA-C[0].Row1B[0].ColB[0].f1_9[0],1,Text,,,17,
p1_form8283_0_page1_0_table_line1_colsa_c_0_row1b_0_f1_10_0,Form8283[0].Page1[0].Table_Line1_ColsA-C[0].Row1B[0].f1_10[0],1,Text,,,,
p1_form8283_0_page1_0_table_line1_colsa_c_0_row1c_0_f1_11_0,Form8283[0].Page1[0].Table_Line1_ColsA-C[0].Row1C[0].f1_11[0],1,Text,,,,
p1_form8283_0_page1_0_table_line1_colsa_c_0_row1c_0_colb_0_c1_4_0,Form8283[0].Page1[0].Table_Line1_ColsA-C[0].Row1C[0].ColB[0].c1_4[0],1,Button,,1,,
p1_form8283_0_page1_0_table_line1_colsa_c_0_row1c_0_colb_0_f1_12_0,Form8283[0].Page1[0].Table_Line1_ColsA-C[0].Row1C[0].ColB[0].f1_12[0],1,Text,,,17,
p1_form8283_0_page1_0_table_line1_colsa_c_0_row1c_0_f1_13_0,Form8283[0].Page1[0].Table_Line1_ColsA-C[0].Row1C[0].f1_13[0],1,Text,,,,
p1_form8283_0_page1_0_table_line1_colsa_c_0_row1d_0_f1_14_0,Form8283[0].Page1[0].Table_Line1_ColsA-C[0].Row1D[0].f1_14[0],1,Text,,,,
p1_form8283_0_page1_0_table_line1_colsa_c_0_row1d_0_colb_0_c1_5_0,Form8283[0].Page1[0].Table_Line1_ColsA-C[0].Row1D[0].ColB[0].c1_5[0],1,Button,,1,,
p1_form8283_0_page1_0_table_line1_colsa_c_0_row1d_0_colb_0_f1_15_0,Form8283[0].Page1[0].Table_Line1_ColsA-C[0].Row1D[0].ColB[0].f1_15[0],1,Text,,,17,
p1_form8283_0_page1_0_table_line1_colsa_c_0_row1d_0_f1_16_0,Form8283[0].Page1[0].Table_Line1_ColsA-C[0].Row1D[0].f1_16[0],1,Text,,,,
p1_form8283_0_page1_0_table_line1_colsd_i_0_row1a_0_f1_17_0,Form8283[0].Page1[0].Table_Line1_ColsD-I[0].Row1A[0].f1_17[0],1,Text,,,,
p1_form8283_0_page1_0_table_line1_colsd_i_0_row1a_0_f1_18_0,Form8283[0].Page1[0].Table_Line1_ColsD-I[0].Row1A[0].f1_18[0],1,Text,,,,
p1_form8283_0_page1_0_table_line1_colsd_i_0_row1a_0_f1_19_0,Form8283[0].Page1[0].Table_Line1_ColsD-I[0].Row1A[0].f1_19[0],1,Text,,,,
p1_form8283_0_page1_0_table_line1_colsd_i_0_row1a_0_f1_20_0,Form8283[0].Page1[0].Table_Line1_ColsD-I[0].Row1A[0].f1_20[0],1,Text,,,,
p1_form8283_0_page1_0_table_line1_colsd_i_0_row1a_0_f1_21_0,Form8283[0].Page1[0].Table_Line1_ColsD-I[0].Row1A[0].f1_21[0],1,Text,,,,
p1_form8283_0_page1_0_table_line1_colsd_i_0_row1a_0_f1_22_0,Form8283[0].Page1[0].Table_Line1_ColsD-I[0].Row1A[0].f1_22[0],1,Text,,,,
p1_form8283_0_page1_0_table_line1_colsd_i_0_row1b_0_f1_23_0,Form8283[0].Page1[0].Table_Line1_ColsD-I[0].Row1B[0].f1_23[0],1,Text,,,,
p1_form8283_0_page1_0_table_line1_colsd_i_0_row1b_0_f1_24_0,Form8283[0].Page1[0].Table_Line1_ColsD-I[0].Row1B[0].f1_24[0],1,Text,,,,
p1_form8283_0_page1_0_table_line1_colsd_i_0_row1b_0_f1_25_0,Form8283[0].Page1[0].Table_Line1_ColsD-I[0].Row1B[0].f1_25[0],1,Text,,,,
p1_form8283_0_page1_0_table_line1_colsd_i_0_row1b_0_f1_26_0,Form8283[0].Page1[0].Table_Line1_ColsD-I[0].Row1B[0].f1_26[0],1,Text,,,,
p1_form8283_0_page1_0_table_line1_colsd_i_0_row1b_0_f1_27_0,Form8283[0].Page1[0].Table_Line1_ColsD-I[0].Row1B[0].f1_27[0],1,Text,,,,
p1_form8283_0_page1_0_table_line1_colsd_i_0_row1b_0_f1_28_0,Form8283[0].Page1[0].Table_Line1_ColsD-I[0].Row1B[0].f1_28[0],1,Text,,,,
p1_form8283_0_page1_0_table_line1_colsd_i_0_row1c_0_f1_29_0,Form8283[0].Page1[0].Table_Line1_ColsD-I[0].Row1C[0].f1_29[0],1,Text,,,,
p1_form8283_0_page1_0_table_line1_colsd_i_0_row1c_0_f1_30_0,Form8283[0].Page1[0].Table_Line1_ColsD-I[0].Row1C[0].f1_30[0],1,Text,,,,
p1_form8283_0_page1_0_table_line1_colsd_i_0_row1c_0_f1_31_0,Form8283[0].Page1[0].Table_Line1_ColsD-I[0].Row1C[0].f1_31[0],1,Text,,,,
p1_form8283_0_page1_0_table_line1_colsd_i_0_row1c_0_f1_32_0,Form8283[0].Page1[0].Table_Line1_ColsD-I[0].Row1C[0].f1_32[0],1,Text,,,,
p1_form8283_0_page1_0_table_line1_colsd_i_0_row1c_0_f1_33_0,Form8283[0].Page1[0].Table_Line1_ColsD-I[0].Row1C[0].f1_33[0],1,Text,,,,
p1_form8283_0_page1_0_table_line1_colsd_i_0_row1c_0_f1_34_0,Form8283[0].Page1[0].Table_Line1_ColsD-I[0].Row1C[0].f1_34[0],1,Text,,,,
p1_form8283_0_page1_0_table_line1_colsd_i_0_row1d_0_f1_35_0,Form8283[0].Page1[0].Table_Line1_ColsD-I[0].Row1D[0].f1_35[0],1,Text,,,,
p1_form8283_0_page1_0_table_line1_colsd_i_0_row1d_0_f1_36_0,Form8283[0].Page1[0].Table_Line1_ColsD-I[0].Row1D[0].f1_36[0],1,Text,,,,
p1_form8283_0_page1_0_table_line1_colsd_i_0_row1d_0_f1_37_0,Form8283[0].Page1[0].Table_Line1_ColsD-I[0].Row1D[0].f1_37[0],1,Text,,,,
p1_form8283_0_page1_0_table_line1_colsd_i_0_row1d_0_f1_38_0,Form8283[0].Page1[0].Table_Line1_ColsD-I[0].Row1D[0].f1_38[0],1,Text,,,,
p1_form8283_0_page1_0_table_line1_colsd_i_0_row1d_0_f1_39_0,Form8283[0].Page1[0].Table_Line1_ColsD-I[0].Row1D[0].f1_39[0],1,Text,,,,
p1_form8283_0_page1_0_table_line1_colsd_i_0_row1d_0_f1_40_0,Form8283[0].Page1[0].Table_Line1_ColsD-I[0].Row1D[0].f1_40[0],1,Text,,,,
art_contribution_of_20_000_or_more,Form8283[0].Page1[0].Lines2a-c[0].c1_6[0],1,Button,"Art (contribution of $20,000 or more)",1,,
qualified_conservation_contribution,Form8283[0].Page1[0].Lines2a-c[0].c1_6[1],1,Button,Qualified conservation contribution,2,,
certified_historic_structure,Form8283[0].Page1[0].Lines2a-c[0].c1_7[0],1,Button,Certified historic structure,1,,
p1_nps,Form8283[0].Page1[0].Lines2a-c[0].f1_41[0],1,Text,NPS #,,,
art_contribution_of_less_than_20_000,Form8283[0].Page1[0].Lines2a-c[0].c1_6[2],1,Button,"Art (contribution of less than $20,000)",3,,
other_real_estate,Form8283[0].Page1[0].Lines2d-h[0].c1_6[0],1,Button,Other real estate,4,,
equipment,Form8283[0].Page1[0].Lines2d-h[0].c1_6[1],1,Button,Equipment,5,,
securities,Form8283[0].Page1[0].Lines2d-h[0].c1_6[2],1,Button,Securities,6,,
collectibles,Form8283[0].Page1[0].Lines2d-h[0].c1_6[3],1,Button,Collectibles,7,,
intellectual_property,Form8283[0].Page1[0].Lines2d-h[0].c1_6[4],1,Button,Intellectual property,8,,
vehicles,Form8283[0].Page1[0].Lines2i-l[0].c1_6[0],1,Button,Vehicles,9,,
clothing_and_household_items,Form8283[0].Page1[0].Lines2i-l[0].c1_6[1],1,Button,Clothing and household items,10,,
digital_assets,Form8283[0].Page1[0].Lines2i-l[0].c1_6[2],1,Button,Digital assets,11,,
other,Form8283[0].Page1[0].Lines2i-l[0].c1_6[3],1,Button,Other,12,,
p1_form8283_0_page1_0_table_line3_colsa_c_0_row3a_0_f1_42_0,Form8283[0].Page1[0].Table_Line3_ColsA-C[0].Row3A[0].f1_42[0],1,Text,,,,
p1_form8283_0_page1_0_table_line3_colsa_c_0_row3a_0_f1_43_0,Form8283[0].Page1[0].Table_Line3_ColsA-C[0].Row3A[0].f1_43[0],1,Text,,,,
p1_form8283_0_page1_0_table_line3_colsa_c_0_row3a_0_f1_44_0,Form8283[0].Page1[0].Table_Line3_ColsA-C[0].Row3A[0].f1_44[0],1,Text,,,,
p1_form8283_0_page1_0_table_line3_colsa_c_0_line3b_0_f1_45_0,Form8283[0].Page1[0].Table_Line3_ColsA-C[0].Line3B[0].f1_45[0],1,Text,,,,
p1_form8283_0_page1_0_table_line3_colsa_c_0_line3b_0_f1_46_0,Form8283[0].Page1[0].Table_Line3_ColsA-C[0].Line3B[0].f1_46[0],1,Text,,,,
p1_form8283_0_page1_0_table_line3_colsa_c_0_line3b_0_f1_47_0,Form8283[0].Page1[0].Table_Line3_ColsA-C[0].Line3B[0].f1_47[0],1,Text,,,,
p1_form8283_0_page1_0_table_line3_colsa_c_0_line3c_0_f1_48_0,Form8283[0].Page1[0].Table_Line3_ColsA-C[0].Line3C[0].f1_48[0],1,Text,,,,
p1_form8283_0_page1_0_table_line3_colsa_c_0_line3c_0_f1_49_0,Form8283[0].Page1[0].Table_Line3_ColsA-C[0].Line3C[0].f1_49[0],1,Text,,,,
p1_form8283_0_page1_0_table_line3_colsa_c_0_line3c_0_f1_50_0,Form8283[0].Page1[0].Table_Line3_ColsA-C[0].Line3C[0].f1_50[0],1,Text,,,,
p1_form8283_0_page1_0_table_line3_colsd_i_0_row3a_0_f1_51_0,Form8283[0].Page1[0].Table_Line3_ColsD-I[0].Row3A[0].f1_51[0],1,Text,,,,
p1_form8283_0_page1_0_table_line3_colsd_i_0_row3a_0_f1_52_0,Form8283[0].Page1[0].Table_Line3_ColsD-I[0].Row3A[0].f1_52[0],1,Text,,,,
p1_form8283_0_page1_0_table_line3_colsd_i_0_row3a_0_f1_53_0,Form8283[0].Page1[0].Table_Line3_ColsD-I[0].Row3A[0].f1_53[0],1,Text,,,,
p1_form8283_0_page1_0_table_line3_colsd_i_0_row3a_0_f1_54_0,Form8283[0].Page1[0].Table_Line3_ColsD-I[0].Row3A[0].f1_54[0],1,Text,,,,
p1_form8283_0_page1_0_table_line3_colsd_i_0_row3a_0_f1_55_0,Form8283[0].Page1[0].Table_Line3_ColsD-I[0].Row3A[0].f1_55[0],1,Text,,,,
p1_form8283_0_page1_0_table_line3_colsd_i_0_row3a_0_f1_56_0,Form8283[0].Page1[0].Table_Line3_ColsD-I[0].Row3A[0].f1_56[0],1,Text,,,,
p1_form8283_0_page1_0_table_line3_colsd_i_0_row3b_0_f1_57_0,Form8283[0].Page1[0].Table_Line3_ColsD-I[0].Row3B[0].f1_57[0],1,Text,,,,
p1_form8283_0_page1_0_table_line3_colsd_i_0_row3b_0_f1_58_0,Form8283[0].Page1[0].Table_Line3_ColsD-I[0].Row3B[0].f1_58[0],1,Text,,,,
p1_form8283_0_page1_0_table_line3_colsd_i_0_row3b_0_f1_59_0,Form8283[0].Page1[0].Table_Line3_ColsD-I[0].Row3B[0].f1_59[0],1,Text,,,,
p1_form8283_0_page1_0_table_line3_colsd_i_0_row3b_0_f1_60_0,Form8283[0].Page1[0].Table_Line3_ColsD-I[0].Row3B[0].f1_60[0],1,Text,,,,
p1_form8283_0_page1_0_table_line3_colsd_i_0_row3b_0_f1_61_0,Form8283[0].Page1[0].Table_Line3_ColsD-I[0].Row3B[0].f1_61[0],1,Text,,,,
p1_form8283_0_page1_0_table_line3_colsd_i_0_row3b_0_f1_62_0,Form8283[0].Page1[0].Table_Line3_ColsD-I[0].Row3B[0].f1_62[0],1,Text,,,,
p1_form8283_0_page1_0_table_line3_colsd_i_0_row3c_0_f1_63_0,Form8283[0].Page1[0].Table_Line3_ColsD-I[0].Row3C[0].f1_63[0],1,Text,,,,
p1_form8283_0_page1_0_table_line3_colsd_i_0_row3c_0_f1_64_0,Form8283[0].Page1[0].Table_Line3_ColsD-I[0].Row3C[0].f1_64[0],1,Text,,,,
p1_form8283_0_page1_0_table_line3_colsd_i_0_row3c_0_f1_65_0,Form8283[0].Page1[0].Table_Line3_ColsD-I[0].Row3C[0].f1_65[0],1,Text,,,,
