friendly_name,original_field_name,page,field_type,caption,state_options,max_length,access
px_13i_recipients_u_s_tin_3,topmostSubform[0].CopyC[0].RightColumn[0].f1_40[0],,Text,"13i Recipient’s U.S. TIN, if any",,11,
px_13j_ch_3_status_code_3,topmostSubform[0].CopyC[0].RightColumn[0].f1_41[0],,Text,13j Ch. 3 status code,,,
px_13k_ch_4_status_code_3,topmostSubform[0].CopyC[0].RightColumn[0].f1_42[0],,Text,13k Ch. 4 status code,,,
px_13l_recipients_giin_3,topmostSubform[0].CopyC[0].RightColumn[0].f1_43[0],,Text,13l Recipient’s GIIN,,19,
px_13m_recipients_ftin_3,topmostSubform[0].CopyC[0].RightColumn[0].f1_44[0],,Text,"13m Recipient’s FTIN, if any",,,
px_13n_lob_code_3,topmostSubform[0].CopyC[0].RightColumn[0].f1_45[0],,Text,13n LOB code,,2,
px_13o_recipients_account_number_3,topmostSubform[0].CopyC[0].RightColumn[0].f1_46[0],,Text,13o Recipient’s account number,,28,
px_topmostsubform_0_copyc_0_rightcolumn_0_line13p_date_0_f1_47_0,topmostSubform[0].CopyC[0].RightColumn[0].Line13p_Date[0].f1_47[0],,Text,,,8,
px_14a_primary_withholding_agents_name_if_applicable_3,topmostSubform[0].CopyC[0].RightColumn[0].f1_48[0],,Text,14a Primary withholding agent’s name (if applicable),,,
px_14b_primary_withholding_agents_ein_3,topmostSubform[0].CopyC[0].RightColumn[0].f1_49[0],,Text,14b Primary withholding agent’s EIN,,10,
15_check_if_pro_rata_basis_reporting_3,topmostSubform[0].CopyC[0].RightColumn[0].c1_5[0],,Button,15 Check if pro-rata basis reporting,1,,
