friendly_name,original_field_name,page,field_type,caption,state_options,max_length,access
p1_name_s_shown_on_form_1040_1040_sr_or_1040_nr,topmostSubform[0].Page1[0].f1_01[0],1,Text,"Name(s) shown on Form 1040, 1040-SR, or 1040-NR",,,
taxpayer_ssn,topmostSubform[0].Page1[0].f1_02[0],1,Text,Your social security number,,11,
p1_topmostsubform_0_page1_0_f1_03_0,topmostSubform[0].Page1[0].f1_03[0],1,Text,,,,
p1_topmostsubform_0_page1_0_f1_04_0,topmostSubform[0].Page1[0].f1_04[0],1,Text,,,,
p1_topmostsubform_0_page1_0_f1_05_0,topmostSubform[0].Page1[0].f1_05[0],1,Text,,,,
p1_date_of_original_divorce_or_separation_agreement,topmostSubform[0].Page1[0].f1_06[0],1,Text,Date of original divorce or separation agreement (see instructions):,,,
p1_topmostsubform_0_page1_0_f1_07_0,topmostSubform[0].Page1[0].f1_07[0],1,Text,,,,
4797,topmostSubform[0].Page1[0].c1_1[0],1,Button,4797,1,,
4684,topmostSubform[0].Page1[0].c1_2[0],1,Button,4684,1,,
p1_topmostsubform_0_page1_0_f1_08_0,topmostSubform[0].Page1[0].f1_08[0],1,Text,,,,
p1_topmostsubform_0_page1_0_f1_09_0,topmostSubform[0].Page1[0].f1_09[0],1,Text,,,,
p1_topmostsubform_0_page1_0_f1_10_0,topmostSubform[0].Page1[0].f1_10[0],1,Text,,,,
unemployment_compensation_if_you_repaid_a_2025_overpayment_check_here,topmostSubform[0].Page1[0].Line7_ReadOrder[0].c1_3[0],1,Button,"Unemployment compensation. If you repaid a 2025 overpayment (see instructions), check here",1,,
p1_enter_amount_repaid,topmostSubform[0].Page1[0].Line7_ReadOrder[0].f1_11[0],1,Text,enter amount repaid:,,,
p1_topmostsubform_0_page1_0_f1_12_0,topmostSubform[0].Page1[0].f1_12[0],1,Text,,,,
p1_topmostsubform_0_page1_0_line8a_readorder_0_f1_13_0,topmostSubform[0].Page1[0].Line8a_ReadOrder[0].f1_13[0],1,Text,,,,
p1_topmostsubform_0_page1_0_f1_14_0,topmostSubform[0].Page1[0].f1_14[0],1,Text,,,,
p1_topmostsubform_0_page1_0_f1_15_0,topmostSubform[0].Page1[0].f1_15[0],1,Text,,,,
p1_topmostsubform_0_page1_0_f1_16_0,topmostSubform[0].Page1[0].f1_16[0],1,Text,,,,
p1_topmostsubform_0_page1_0_f1_17_0,topmostSubform[0].Page1[0].f1_17[0],1,Text,,,,
p1_topmostsubform_0_page1_0_f1_18_0,topmostSubform[0].Page1[0].f1_18[0],1,Text,,,,
p1_topmostsubform_0_page1_0_f1_19_0,topmostSubform[0].Page1[0].f1_19[0],1,Text,,,,
p1_topmostsubform_0_page1_0_f1_20_0,topmostSubform[0].Page1[0].f1_20[0],1,Text,,,,
p1_topmostsubform_0_page1_0_f1_21_0,topmostSubform[0].Page1[0].f1_21[0],1,Text,,,,
p1_topmostsubform_0_page1_0_f1_22_0,topmostSubform[0].Page1[0].f1_22[0],1,Text,,,,
p1_topmostsubform_0_page1_0_f1_23_0,topmostSubform[0].Page1[0].f1_23[0],1,Text,,,,
p1_topmostsubform_0_page1_0_f1_24_0,topmostSubform[0].Page1[0].f1_24[0],1,Text,,,,
p1_topmostsubform_0_page1_0_f1_25_0,topmostSubform[0].Page1[0].f1_25[0],1,Text,,,,
p1_topmostsubform_0_page1_0_f1_26_0,topmostSubform[0].Page1[0].f1_26[0],1,Text,,,,
p1_topmostsubform_0_page1_0_f1_27_0,topmostSubform[0].Page1[0].f1_27[0],1,Text,,,,
p1_topmostsubform_0_page1_0_f1_28_0,topmostSubform[0].Page1[0].f1_28[0],1,Text,,,,
p1_topmostsubform_0_page1_0_f1_29_0,topmostSubform[0].Page1[0].f1_29[0],1,Text,,,,
p1_topmostsubform_0_page1_0_f1_30_0,topmostSubform[0].Page1[0].f1_30[0],1,Text,,,,
p1_topmostsubform_0_page1_0_f1_31_0,topmostSubform[0].Page1[0].f1_31[0],1,Text,,,,
p1_topmostsubform_0_page1_0_f1_32_0,topmostSubform[0].Page1[0].f1_32[0],1,Text,,,,
p1_topmostsubform_0_page1_0_f1_33_0,topmostSubform[0].Page1[0].f1_33[0],1,Text,,,,
p1_topmostsubform_0_page1_0_f1_34_0,topmostSubform[0].Page1[0].f1_34[0],1,Text,,,,
p1_topmostsubform_0_page1_0_line8z_readorder_0_f1_35_0,topmostSubform[0].Page1[0].Line8z_ReadOrder[0].f1_35[0],1,Text,,,,
p1_topmostsubform_0_page1_0_f1_36_0,topmostSubform[0].Page1[0].f1_36[0],1,Text,,,,
p1_topmostsubform_0_page1_0_f1_37_0,topmostSubform[0].Page1[0].f1_37[0],1,Text,,,,
p1_topmostsubform_0_page1_0_f1_38_0,topmostSubform[0].Page1[0].f1_38[0],1,Text,,,,
p2_topmostsubform_0_page2_0_f2_01_0,topmostSubform[0].Page2[0].f2_01[0],2,Text,,,,
p2_topmostsubform_0_page2_0_f2_02_0,topmostSubform[0].Page2[0].f2_02[0],2,Text,,,,
p2_topmostsubform_0_page2_0_f2_03_0,topmostSubform[0].Page2[0].f2_03[0],2,Text,,,,
check_here,topmostSubform[0].Page2[0].c2_1[0],2,Button,"(see instructions), check here",1,,
p2_topmostsubform_0_page2_0_f2_04_0,topmostSubform[0].Page2[0].f2_04[0],2,Text,,,,
p2_topmostsubform_0_page2_0_f2_05_0,topmostSubform[0].Page2[0].f2_05[0],2,Text,,,,
p2_topmostsubform_0_page2_0_f2_06_0,topmostSubform[0].Page2[0].f2_06[0],2,Text,,,,
p2_topmostsubform_0_page2_0_f2_07_0,topmostSubform[0].Page2[0].f2_07[0],2,Text,,,,
p2_topmostsubform_0_page2_0_f2_08_0,topmostSubform[0].Page2[0].f2_08[0],2,Text,,,,
p2_topmostsubform_0_page2_0_f2_09_0,topmostSubform[0].Page2[0].f2_09[0],2,Text,,,,
p2_topmostsubform_0_page2_0_line19b_combfield_0_f2_10_0,topmostSubform[0].Page2[0].Line19b_CombField[0].f2_10[0],2,Text,,,9,
p2_date_of_original_divorce_or_separation_agreement,topmostSubform[0].Page2[0].f2_11[0],2,Text,Date of original divorce or separation agreement (see instructions):,,,
