friendly_name,original_field_name,page,field_type,caption,state_options,max_length,access
p1_topmostsubform_0_page1_0_col2_0_c1_3_0,topmostSubform[0].Page1[0].Col2[0].c1_3[0],1,Button,,14,,
p1_topmostsubform_0_page1_0_col2_0_c1_3_1,topmostSubform[0].Page1[0].Col2[0].c1_3[1],1,Button,,15,,
international_organization_complete_part_xiv,topmostSubform[0].Page1[0].Col2[0].c1_3[2],1,Button,International organization. Complete Part XIV.,16,,
exempt_retirement_plans_complete_part_xv,topmostSubform[0].Page1[0].Col2[0].c1_3[3],1,Button,Exempt retirement plans. Complete Part XV.,17,,
p1_topmostsubform_0_page1_0_col2_0_c1_3_4,topmostSubform[0].Page1[0].Col2[0].c1_3[4],1,Button,,18,,
territory_financial_institution_complete_part_xvii,topmostSubform[0].Page1[0].Col2[0].c1_3[5],1,Button,Territory financial institution. Complete Part XVII.,19,,
excepted_nonfinancial_group_entity_complete_part_xviii,topmostSubform[0].Page1[0].Col2[0].c1_3[6],1,Button,Excepted nonfinancial group entity. Complete Part XVIII.,20,,
excepted_nonfinancial_start_up_company_complete_part_xix,topmostSubform[0].Page1[0].Col2[0].c1_3[7],1,Button,Excepted nonfinancial start-up company. Complete Part XIX.,21,,
p1_topmostsubform_0_page1_0_col2_0_c1_3_8,topmostSubform[0].Page1[0].Col2[0].c1_3[8],1,Button,,22,,
501_c_organization_complete_part_xxi,topmostSubform[0].Page1[0].Col2[0].c1_3[9],1,Button,501(c) organization. Complete Part XXI.,23,,
nonprofit_organization_complete_part_xxii,topmostSubform[0].Page1[0].Col2[0].c1_3[10],1,Button,Nonprofit organization. Complete Part XXII.,24,,
p1_topmostsubform_0_page1_0_col2_0_c1_3_11,topmostSubform[0].Page1[0].Col2[0].c1_3[11],1,Button,,25,,
excepted_territory_nffe_complete_part_xxiv,topmostSubform[0].Page1[0].Col2[0].c1_3[12],1,Button,Excepted territory NFFE. Complete Part XXIV.,26,,
active_nffe_complete_part_xxv,topmostSubform[0].Page1[0].Col2[0].c1_3[13],1,Button,Active NFFE. Complete Part XXV.,27,,
passive_nffe_complete_part_xxvi,topmostSubform[0].Page1[0].Col2[0].c1_3[14],1,Button,Passive NFFE. Complete Part XXVI.,28,,
excepted_inter_affiliate_ffi_complete_part_xxvii,topmostSubform[0].Page1[0].Col2[0].c1_3[15],1,Button,Excepted inter-affiliate FFI. Complete Part XXVII.,29,,
direct_reporting_nffe,topmostSubform[0].Page1[0].Col2[0].c1_3[16],1,Button,Direct reporting NFFE.,30,,
sponsored_direct_reporting_nffe_complete_part_xxviii,topmostSubform[0].Page1[0].Col2[0].c1_3[17],1,Button,Sponsored direct reporting NFFE. Complete Part XXVIII.,31,,
account_that_is_not_a_financial_account,topmostSubform[0].Page1[0].Col2[0].c1_3[18],1,Button,Account that is not a financial account.,32,,
permanent_residence_street,topmostSubform[0].Page1[0].f1_4[0],1,Text,"6 Permanent residence address (street, apt. or suite no., or rural route). Do not use a P.O. box or in-care-of address (other than a registered address).",,,
permanent_residence_city_state_postal,topmostSubform[0].Page1[0].f1_5[0],1,Text,"City or town, state or province. Include postal code where appropriate.",,,
taxpayer_country,topmostSubform[0].Page1[0].f1_6[0],1,Text,Country,,,
p1_7_mailing_address_if_different_from_above,topmostSubform[0].Page1[0].f1_7[0],1,Text,7 Mailing address (if different from above),,,
permanent_residence_city_state_postal_2,topmostSubform[0].Page1[0].f1_8[0],1,Text,"City or town, state or province. Include postal code where appropriate.",,,
taxpayer_country_2,topmostSubform[0].Page1[0].f1_9[0],1,Text,Country,,,
