friendly_name,original_field_name,page,field_type,caption,state_options,max_length,access
p2_topmostsubform_0_page2_0_f2_15_0,topmostSubform[0].Page2[0].f2_15[0],2,Text,,,,
p2_topmostsubform_0_page2_0_f2_16_0,topmostSubform[0].Page2[0].f2_16[0],2,Text,,,,
p2_topmostsubform_0_page2_0_f2_17_0,topmostSubform[0].Page2[0].f2_17[0],2,Text,,,,
p2_topmostsubform_0_page2_0_f2_18_0,topmostSubform[0].Page2[0].f2_18[0],2,Text,,,,
p2_topmostsubform_0_page2_0_c2_1_0,topmostSubform[0].Page2[0].c2_1[0],2,Button,,1,,
p2_topmostsubform_0_page2_0_f2_19_0,topmostSubform[0].Page2[0].f2_19[0],2,Text,,,,
p2_topmostsubform_0_page2_0_f2_20_0,topmostSubform[0].Page2[0].f2_20[0],2,Text,,,,
p2_topmostsubform_0_page2_0_f2_21_0,topmostSubform[0].Page2[0].f2_21[0],2,Text,,,,
p2_topmostsubform_0_page2_0_f2_22_0,topmostSubform[0].Page2[0].f2_22[0],2,Text,,,,
p2_topmostsubform_0_page2_0_f2_23_0,topmostSubform[0].Page2[0].f2_23[0],2,Text,,,,
p2_topmostsubform_0_page2_0_f2_24_0,topmostSubform[0].Page2[0].f2_24[0],2,Text,,,,
p2_topmostsubform_0_page2_0_f2_25_0,topmostSubform[0].Page2[0].f2_25[0],2,Text,,,,
p2_topmostsubform_0_page2_0_routing_number_0_f2_26_0,topmostSubform[0].Page2[0].Routing_Number[0].f2_26[0],2,Text,,,9,
checking,topmostSubform[0].Page2[0].c2_2[0],2,Button,Checking,1,,
savings,topmostSubform[0].Page2[0].c2_2[1],2,Button,Savings,2,,
p2_topmostsubform_0_page2_0_acctnumber_0_f2_27_0,topmostSubform[0].Page2[0].AcctNumber[0].f2_27[0],2,Text,,,17,
p2_topmostsubform_0_page2_0_line15_readorder_0_f2_28_0,topmostSubform[0].Page2[0].Line15_ReadOrder[0].f2_28[0],2,Text,,,,
p2_title,topmostSubform[0].Page2[0].f2_29[0],2,Text,Title,,,
p2_date,topmostSubform[0].Page2[0].f2_30[0],2,Text,Date,,,
p2_preparers_name,topmostSubform[0].Page2[0].f2_31[0],2,Text,Preparer’s name,,,
p2_topmostsubform_0_page2_0_c2_3_0,topmostSubform[0].Page2[0].c2_3[0],2,Button,,Yes,,
p2_ptin,topmostSubform[0].Page2[0].f2_32[0],2,Text,PTIN,,11,
p2_firms_name,topmostSubform[0].Page2[0].f2_33[0],2,Text,Firm’s name,,,
p2_firms_address,topmostSubform[0].Page2[0].f2_34[0],2,Text,Firm’s address,,,
p2_firms_ein,topmostSubform[0].Page2[0].f2_35[0],2,Text,Firm’s EIN,,10,
p2_phone_no,topmostSubform[0].Page2[0].f2_36[0],2,Text,Phone no.,,,
