friendly_name,original_field_name,page,field_type,caption,state_options,max_length,access
p1_for_calendar_year_20,topmostSubform[0].Page1[0].f1_1[0],1,Text,For calendar year 20,,2,
p1_or_tax_year_beginning,topmostSubform[0].Page1[0].f1_2[0],1,Text,", or tax year beginning",,,
p1_20,topmostSubform[0].Page1[0].f1_3[0],1,Text,", 20",,2,
p1_ending,topmostSubform[0].Page1[0].f1_4[0],1,Text,", ending",,,
p1_20_2,topmostSubform[0].Page1[0].f1_5[0],1,Text,", 20",,2,
initial_return,topmostSubform[0].Page1[0].c1_1[0],1,Button,Initial return,1,,
final_return,topmostSubform[0].Page1[0].c1_2[0],1,Button,Final return,1,,
amended_return,topmostSubform[0].Page1[0].c1_3[0],1,Button,Amended return,1,,
individual,topmostSubform[0].Page1[0].c1_4[0],1,Button,Individual,1,,
partnership,topmostSubform[0].Page1[0].c1_4[1],1,Button,Partnership,2,,
corporation,topmostSubform[0].Page1[0].c1_4[2],1,Button,Corporation,3,,
trust,topmostSubform[0].Page1[0].c1_4[3],1,Button,Trust,4,,
executor,topmostSubform[0].Page1[0].c1_4[4],1,Button,Executor,5,,
check_excepted_specified_foreign_financial_assets_are_reported_on_this_form,topmostSubform[0].Page1[0].c1_5[0],1,Button,Check if any excepted specified foreign financial assets are reported on this form. See instructions,1,,
p1_topmostsubform_0_page1_0_c1_6_0,topmostSubform[0].Page1[0].c1_6[0],1,Button,,1,,
p1_topmostsubform_0_page1_0_c1_7_0,topmostSubform[0].Page1[0].c1_7[0],1,Button,,1,,
p1_topmostsubform_0_page1_0_c1_8_0,topmostSubform[0].Page1[0].c1_8[0],1,Button,,1,,
p1_topmostsubform_0_page1_0_c1_9_0,topmostSubform[0].Page1[0].c1_9[0],1,Button,,1,,
taxpayer_name,topmostSubform[0].Page1[0].f1_6[0],1,Text,1a Name of U.S. person(s) with respect to whom this Form 3520 is being filed (see instructions),,,
taxpayer_tin,topmostSubform[0].Page1[0].f1_7[0],1,Text,b Taxpayer identification number (TIN),,11,
p1_c_number_street_and_room_or_suite_no_if_a_p_o_box,topmostSubform[0].Page1[0].f1_8[0],1,Text,"c Number, street, and room or suite no. If a P.O. box, see instructions.",,,
p1_d_spouses_tin,topmostSubform[0].Page1[0].f1_9[0],1,Text,d Spouse’s TIN,,11,
p1_e_city_or_town,topmostSubform[0].Page1[0].f1_10[0],1,Text,e City or town,,,
p1_f_state_or_province,topmostSubform[0].Page1[0].f1_11[0],1,Text,f State or province,,,
taxpayer_postal_code,topmostSubform[0].Page1[0].f1_12[0],1,Text,g ZIP or foreign postal code,,,
p1_h_country,topmostSubform[0].Page1[0].f1_13[0],1,Text,h Country,,,
if_you_are_filing_with_your_spouse_a_current_year_joint_income_tax_return_and_a_joint_form_3520_check_this_box,topmostSubform[0].Page1[0].c1_10[0],1,Button,"If you are filing with your spouse a current-year joint income tax return and a joint Form 3520, check this box",1,,
if_an_automatic_2_month_extension_applies_for_the_u_s_persons_tax_return_check_this_box_and_attach_statement,topmostSubform[0].Page1[0].c1_11[0],1,Button,"If an automatic 2-month extension applies for the U.S. person’s tax return, check this box and attach statement. See instructions",1,,
if_an_extension_was_requested_for_the_tax_return_check_this_box,topmostSubform[0].Page1[0].c1_12[0],1,Button,"If an extension was requested for the tax return, check this box",1,,
p1_and_enter_the_form_number_of_the_tax_return_to_be_filed,topmostSubform[0].Page1[0].f1_14[0],1,Text,and enter the form number of the tax return to be filed:,,,
p1_2a_name_of_foreign_trust_if_applicable,topmostSubform[0].Page1[0].f1_15[0],1,Text,2a Name of foreign trust (if applicable),,,
p1_b_employer_identification_number_ein,topmostSubform[0].Page1[0].f1_16[0],1,Text,"b Employer identification number (EIN), if any",,10,
p1_c_number_street_and_room_or_suite_no_if_a_p_o_box_2,topmostSubform[0].Page1[0].f1_17[0],1,Text,"c Number, street, and room or suite no. If a P.O. box, see instructions.",,,
p1_d_date_foreign_trust_was_created,topmostSubform[0].Page1[0].f1_18[0],1,Text,d Date foreign trust was created,,,
p1_e_city_or_town_2,topmostSubform[0].Page1[0].f1_19[0],1,Text,e City or town,,,
p1_f_state_or_province_2,topmostSubform[0].Page1[0].f1_20[0],1,Text,f State or province,,,
taxpayer_postal_code_2,topmostSubform[0].Page1[0].f1_21[0],1,Text,g ZIP or foreign postal code,,,
p1_h_country_2,topmostSubform[0].Page1[0].f1_22[0],1,Text,h Country,,,
p1_topmostsubform_0_page1_0_c1_13_0_yes,topmostSubform[0].Page1[0].c1_13[0],1,Button,Yes,1,,
p1_topmostsubform_0_page1_0_c1_13_1_no,topmostSubform[0].Page1[0].c1_13[1],1,Button,No,2,,
p1_3a_name_of_u_s_agent,topmostSubform[0].Page1[0].f1_23[0],1,Text,3a Name of U.S. agent,,,
p1_b_tin,topmostSubform[0].Page1[0].f1_24[0],1,Text,"b TIN, if any",,11,
p1_c_number_street_and_room_or_suite_no_if_a_p_o_box_3,topmostSubform[0].Page1[0].f1_25[0],1,Text,"c Number, street, and room or suite no. If a P.O. box, see instructions.",,,
p1_d_city_or_town,topmostSubform[0].Page1[0].f1_26[0],1,Text,d City or town,,,
p1_e_state_or_province,topmostSubform[0].Page1[0].f1_27[0],1,Text,e State or province,,,
taxpayer_postal_code_3,topmostSubform[0].Page1[0].f1_28[0],1,Text,f ZIP or postal code,,,
